Service,Function,Avg Latency (ms),P95 Latency (ms),CPU Usage (%),Memory Usage (%),Security Score,Cost,Composite Score
FaaSLight Original,compute,1582.6421052530015,2836.7750428218383,18.43378378378378,69.71756756756756,0.72,139.5120402835997,0.15793182351648996
FaaSLight Original,io,1075.2221784121975,2062.537884712219,19.739062500000003,69.684375,0.72,96.150063269857,0.222640695585063
FaaSLight Original,memory,2040.3237772022842,3015.57856798172,19.71935483870968,69.7290322580645,0.72,182.50367102594237,0.13744639070969325
FaaSLight Enhanced,compute,734.2692600146063,1331.4931035041807,22.004687500000003,68.93281250000001,0.89,53.418088666062616,0.4199736738239638
FaaSLight Enhanced,io,651.0836498148175,1226.5937714758966,23.32352941176471,68.85441176470586,0.89,48.01244029887361,0.46217203390443
FaaSLight Enhanced,memory,1267.145011200474,1913.0317568778992,22.348529411764705,68.96323529411767,0.89,92.56419768877629,0.2719433066378899
SAND++,compute,1256.2468198222682,2211.091673374176,7.887499999999999,68.2546875,0.82,95.65338090118587,0.23014366267890374
SAND++,io,920.2874059462079,1621.658372879028,8.034782608695652,68.21884057971016,0.82,70.17524907805759,0.3139211358281513
SAND++,memory,1814.2781331385681,2506.4014434814453,9.050746268656718,68.25820895522389,0.82,140.25994695847527,0.18381778001379628
AWS Fargate,compute,791.8988993276726,1372.6979970931995,8.866666666666667,68.33888888888889,0.78,61.13899446642591,0.35044589216245686
AWS Fargate,io,762.7073661909526,1517.9076194763184,8.221126760563378,68.32816901408448,0.78,58.38471176405388,0.3334758875157578
AWS Fargate,memory,1451.8693191941827,2515.0519786525088,8.389333333333333,68.35066666666667,0.78,111.41645155496158,0.19125439037373415
Unikernel,compute,2265.504778985875,3907.2586007286664,6.51267605633803,67.3281690140845,0.65,167.2867873913978,0.10252284806394639
Unikernel,io,1377.460589378828,2537.9244089126582,7.03050847457627,67.32372881355933,0.65,102.42003151772848,0.1617798761207846
Unikernel,memory,2771.525723576968,3939.6382797717515,6.992857142857144,67.26714285714287,0.65,205.8135002328257,0.09397168050112005
